# Bản thảo nghĩa tiếng Việt ngắn dựa trên KANJIDIC2 (CC BY-SA 4.0).
# Chưa được duyệt ngôn ngữ; bổ sung/hiệu chỉnh trong curated_vi.json.
一	Một
婆	Bà già
婚	Kết hôn
婿	Con rể
媒	Môi giới
嫁	Lấy chồng; cô dâu
嫉	Ghen ghét
嫌	Ghét
嫡	Dòng chính; đích tôn
嬢	Tiểu thư
孔	Lỗ
孤	Cô độc; mồ côi
宛	Gửi đến; địa chỉ
宜	Thích hợp
宰	Cai quản
宴	Tiệc
宵	Đầu đêm
寂	Vắng; cô tịch
寛	Khoan dung
寝	Ngủ
寡	Ít; góa
寧	Yên; thà rằng
審	Xem xét; xét xử
寮	Ký túc xá
寿	Thọ
封	Niêm phong
尉	Úy; sĩ quan
尋	Hỏi; tìm
尚	Hơn nữa; coi trọng
尻	Mông
尼	Ni cô
尽	Hết; tận
尾	Đuôi
尿	Nước tiểu
屈	Cúi; khuất phục
履	Mang giày; thực hiện
屯	Đồn trú
岬	Mũi đất
岳	Núi cao
峠	Đèo
峡	Hẻm núi
峰	Đỉnh núi
崇	Tôn sùng
崖	Vách đá
崩	Sụp đổ
嵐	Bão
巡	Tuần tra; đi vòng
巧	Khéo
巨	Khổng lồ
巾	Khăn
帆	Buồm
帝	Hoàng đế
帥	Nguyên soái
帽	Mũ
幅	Chiều rộng
幣	Tiền; lễ vật
幻	Ảo
幽	U; sâu kín
幾	Mấy; bao nhiêu
床	Giường; sàn
庶	Thường dân; nhiều
庸	Bình thường
廃	Bỏ; phế
廉	Rẻ; liêm khiết
廊	Hành lang
廷	Triều đình; tòa
弄	Đùa nghịch
弊	Tệ; tai hại
弐	Hai (văn tự tài chính)
弔	Viếng; chia buồn
弥	Càng; khắp
弦	Dây cung; dây đàn
弧	Cung tròn
弾	Đạn; gảy
彙	Tập hợp; cùng loại
彩	Màu sắc
彫	Chạm khắc
彰	Rõ; biểu dương
影	Bóng
彼	Anh ấy; kia
征	Chinh phạt
徐	Từ từ
御	Kính ngữ; điều khiển
循	Tuần tự; theo
微	Nhỏ; tinh vi
徴	Dấu hiệu; trưng thu
徹	Triệt; xuyên suốt
忌	Kiêng; ngày giỗ
忍	Nhẫn; chịu đựng
忙	Bận
怒	Giận
怖	Sợ
怠	Lười; sao nhãng
怨	Oán
怪	Lạ; đáng ngờ
恋	Yêu; tình yêu
恐	Sợ
恒	Luôn; không đổi
恣	Tùy tiện
恥	Xấu hổ
恨	Hận
恭	Kính cẩn
恵	Ân huệ
悔	Hối hận
悟	Giác ngộ; nhận ra
悠	Xa; lâu dài
患	Mắc bệnh; lo
悦	Vui
悩	Phiền não
悼	Thương tiếc
惑	Hoang mang; mê hoặc
惜	Tiếc
惧	Sợ hãi
惨	Thảm
惰	Lười
愁	Sầu
愉	Vui vẻ
愚	Ngu
慄	Run sợ
慈	Nhân từ
慌	Hoảng
慎	Thận trọng
慕	Mến; ngưỡng mộ
慢	Kiêu; chậm; khinh nhờn
慨	Cảm khái
慮	Lo nghĩ; suy xét
慰	An ủi
慶	Mừng
憂	Lo buồn
憎	Ghét
憤	Phẫn nộ
憧	Mơ ước; ngưỡng mộ
憩	Nghỉ ngơi
憬	Khát khao
憶	Nhớ
憾	Hối tiếc
懇	Ân cần
懐	Lòng; nhớ nhung
懲	Trừng phạt
懸	Treo; lo
戒	Răn; giới luật
戚	Họ hàng; buồn
戯	Đùa; chơi
戴	Đội; nhận kính trọng
戻	Trở lại
房	Buồng; chùm
扇	Quạt
扉	Cánh cửa
払	Trả; phủi
扱	Xử lý; đối xử
扶	Giúp
抄	Trích; sao
把	Nắm
抑	Kìm; kiềm chế
抗	Chống
抜	Rút; nhổ; vượt
択	Chọn
披	Mở; bày ra
抱	Ôm
抵	Chống; đến
抹	Xoa; xóa
押	Đẩy; ấn
抽	Rút; trích
拉	Kéo; bắt cóc
拍	Vỗ; nhịp
拐	Bắt cóc
拒	Từ chối
拓	Khai phá
拘	Bắt giữ; ràng buộc
拙	Vụng về
拠	Căn cứ
括	Buộc; gom
拭	Lau
拳	Nắm đấm
拶	Áp sát; dùng trong chào hỏi
拷	Tra tấn
挑	Thách thức
挟	Kẹp
挨	Tiến gần; dùng trong chào hỏi
挫	Làm gãy; thất bại
振	Lắc; vẫy
挿	Cắm; chèn
捉	Bắt; nắm bắt
捕	Bắt
捗	Tiến triển
捜	Tìm kiếm
据	Đặt; cố định
捻	Vặn; xoắn
掃	Quét
掌	Lòng bàn tay; quản
排	Loại bỏ; xếp
掘	Đào
掛	Treo; đặt lên
控	Kiềm chế; ghi chép
措	Biện pháp; đặt
掲	Đăng; giơ lên
描	Vẽ; mô tả
揚	Nâng; chiên
換	Đổi
握	Nắm
援	Hỗ trợ
揺	Rung; lắc
搬	Vận chuyển
搭	Lên tàu xe; lắp
携	Mang theo
搾	Ép; vắt
摂	Thu nạp; thay mặt
摘	Hái; chỉ ra
摩	Xoa; ma sát
摯	Chân thành
撃	Đánh; bắn
撤	Rút; tháo
撮	Chụp ảnh
撲	Đánh; đập
擁	Ôm; ủng hộ
擦	Cọ; chà
擬	Bắt chước; mô phỏng
攻	Tấn công
敏	Nhanh nhạy
敢	Dám
敷	Trải; lót
斉	Đều; đồng loạt
斎	Trai giới; thanh tịnh
斑	Đốm
斗	Đấu đong; sao Bắc Đẩu
斜	Nghiêng
斤	Rìu; đơn vị cân
斥	Bác bỏ
斬	Chém
施	Thi hành; ban
旋	Xoay
既	Đã
旦	Rạng sáng
旨	Ý chính; ngon
旬	Mười ngày; đúng mùa
旺	Thịnh vượng
昆	Anh; dòng dõi
昇	Lên
昧	Mờ; không rõ
是	Đúng; này
普	Phổ biến
晶	Tinh thể; sáng
暁	Bình minh
暇	Rảnh
暦	Lịch
暫	Tạm thời
曇	Nhiều mây
曖	Mờ; không rõ
更	Đổi; hơn nữa
曹	Quan; cấp Tào
曽	Từng; trước đây
替	Thay
朕	Trẫm
朱	Đỏ son
朴	Mộc mạc
朽	Mục nát
杉	Cây tuyết tùng Nhật
杯	Cốc; chén
析	Phân tích
枕	Gối
枠	Khung
枢	Trục; trọng yếu
枯	Khô héo
架	Giá; bắc lên
柄	Cán; hoa văn; tính cách
某	Nào đó
柔	Mềm; dịu
柳	Liễu
柵	Hàng rào
柿	Quả hồng
栓	Nút; chốt
核	Hạt nhân
栽	Trồng
桁	Xà; hàng chữ số
桃	Đào
桑	Dâu tằm
桟	Giàn; thanh ngang
梗	Tắc; khái quát
棄	Bỏ
棋	Cờ
棚	Kệ
棟	Nóc; tòa nhà
棺	Quan tài
椅	Ghế
椎	Cây dẻ; đốt sống
楷	Chữ khải
楼	Lầu
概	Khái quát
槽	Bồn; máng
欄	Cột; lan can
欧	Châu Âu
欺	Lừa
款	Khoản; thiện chí
歓	Vui mừng
歳	Tuổi; năm
殉	Tuẫn; chết theo
殊	Đặc biệt
殖	Sinh sôi; tăng
殴	Đánh; đấm
殻	Vỏ
殿	Điện; ngài
毀	Phá hủy
氾	Tràn
汁	Nước; canh
汎	Rộng khắp
汗	Mồ hôi
汚	Bẩn
江	Nhánh sông; vịnh
汰	Sàng lọc; đào thải
沃	Màu mỡ
沈	Chìm
沙	Cát
没	Chìm; mất
沢	Đầm; nhiều
沸	Sôi
沼	Đầm lầy
況	Tình hình
泊	Trọ qua đêm; neo
泌	Tiết ra
泡	Bọt
泥	Bùn
泰	Yên bình
洞	Hang
津	Bến cảng
洪	Lũ
浄	Sạch
浜	Bãi biển
浦	Vịnh
浪	Sóng; lang thang
浮	Nổi
浸	Ngâm
涙	Nước mắt
涯	Bờ; chân trời
涼	Mát
淑	Hiền thục
淡	Nhạt
淫	Dâm; quá mức
添	Thêm; kèm
渇	Khát
渉	Qua; can thiệp
渋	Chát; khó khăn; ùn tắc
渓	Suối núi
渡	Qua; giao
渦	Xoáy nước
湧	Trào lên
湾	Vịnh
湿	Ẩm
溝	Rãnh
溶	Tan; hòa tan
溺	Chết đuối; chìm đắm
滅	Diệt
滑	Trượt; trơn
滝	Thác
滞	Ứ đọng; chậm trễ
滴	Giọt
漂	Trôi
漆	Sơn mài
漏	Rò rỉ
漠	Mơ hồ; sa mạc
漫	Lan tràn; tùy tiện
漬	Ngâm; muối chua
漸	Dần dần
潜	Lặn; ẩn
潤	Ẩm; lợi nhuận
潰	Nghiền; sụp
澄	Trong
濁	Đục
濃	Đậm; đặc
濫	Lạm; tràn
濯	Giặt
瀬	Ghềnh; dòng nước nông
炉	Lò
炊	Nấu
炎	Ngọn lửa; viêm
為	Làm; vì
烈	Dữ dội
焦	Cháy xém; nóng ruột
煎	Rang; sắc
煙	Khói
煩	Phiền
煮	Nấu; luộc
燥	Khô
爆	Nổ
爪	Móng
爵	Tước vị
爽	Sảng khoái
牙	Răng nanh
牲	Vật hiến tế
犠	Hy sinh
狂	Điên
狙	Nhắm
狩	Săn
狭	Hẹp
猛	Mãnh liệt
猟	Săn bắn
猫	Mèo
献	Dâng; cống hiến
猶	Vẫn; còn
猿	Khỉ
獄	Ngục
獣	Thú
獲	Bắt; giành được
玄	Huyền; sâu xa
玩	Chơi; đồ chơi
珍	Hiếm; quý
珠	Ngọc trai
琴	Đàn cầm; đàn koto
瑠	Lưu ly
璃	Pha lê; lưu ly
璧	Ngọc bích
環	Vòng
璽	Ấn vua
瓦	Ngói
瓶	Chai; lọ
甘	Ngọt; dễ dãi
甚	Rất
甲	Giáp; mai
畏	Sợ; kính sợ
畔	Bờ ruộng
畜	Gia súc
畝	Luống
畳	Chiếu tatami; gấp
畿	Vùng kinh đô
疎	Thưa; xa cách
疫	Dịch bệnh
疲	Mệt
疾	Bệnh; nhanh
症	Triệu chứng
痕	Vết; sẹo
痘	Đậu mùa
痢	Tiêu chảy
痩	Gầy
痴	Ngu; si
瘍	U; lở loét
療	Chữa trị
癒	Chữa lành
癖	Thói quen
皆	Tất cả
盆	Khay; lễ Obon
盗	Trộm
監	Giám sát
盤	Bàn; đĩa
盲	Mù
盾	Khiên
眉	Lông mày
眠	Ngủ
眺	Ngắm
睡	Ngủ
督	Đốc thúc
睦	Hòa thuận
瞬	Chớp mắt
瞭	Rõ
瞳	Con ngươi
矛	Giáo
矯	Uốn; sửa
砕	Nghiền; vỡ
砲	Pháo
硝	Diêm tiêu; nitrat
硫	Lưu huỳnh
硬	Cứng
碁	Cờ vây
碑	Bia đá
磨	Mài
礁	Đá ngầm
礎	Nền móng
祈	Cầu nguyện
祉	Phúc lợi
祥	Tốt lành
禅	Thiền
禍	Tai họa
秀	Xuất sắc
租	Thuế; thuê
秩	Trật tự
称	Gọi; xưng; khen
稚	Non; nhỏ tuổi
稲	Lúa
稼	Kiếm tiền; làm việc
稽	Xem xét; luyện tập
稿	Bản thảo
穂	Bông lúa
穏	Êm; yên
穫	Thu hoạch
突	Đâm; đột ngột
窃	Trộm
窒	Nghẹt
窟	Hang
窮	Cùng; túng
窯	Lò nung
竜	Rồng
端	Đầu mút; cạnh
符	Dấu; phù hiệu
筒	Ống
箇	Đơn vị đếm vật
箋	Giấy; tờ ghi
箸	Đũa
範	Khuôn mẫu
篤	Nồng hậu; nặng bệnh
簿	Sổ
籍	Sổ đăng ký; quốc tịch
籠	Giỏ; nhốt
粋	Tinh túy; thanh lịch
粒	Hạt
粗	Thô
粘	Dính
粛	Nghiêm; lặng
粧	Trang điểm
糧	Lương thực
糾	Truy xét; xoắn
紋	Hoa văn; gia huy
紛	Lẫn; rối
紡	Kéo sợi
索	Dây; tìm kiếm
紫	Tím
累	Tích lũy; liên lụy
紳	Thân sĩ
紹	Giới thiệu
紺	Xanh đậm
絞	Vắt; siết
絡	Quấn; liên lạc
継	Kế thừa
維	Duy trì; sợi
綱	Dây lớn; cương
網	Lưới
綻	Bung; rách
緊	Căng
緒	Đầu mối; dây
締	Buộc chặt; kết thúc
緩	Lỏng; chậm
緯	Vĩ tuyến; sợi ngang
緻	Tinh xảo
縁	Duyên; mép
縛	Trói
縫	May
繁	Rậm; nhiều
繊	Mảnh; sợi
繕	Sửa; vá
繭	Kén
繰	Quay; cuộn
缶	Lon
罰	Phạt
罵	Chửi
罷	Bãi; ngừng
羅	La; lưới; liệt kê
羞	Xấu hổ
羨	Ghen tị; ngưỡng mộ
翁	Ông già
翻	Lật; dịch
翼	Cánh
耐	Chịu đựng
耗	Hao
聴	Lắng nghe
肌	Da
肖	Giống
肘	Khuỷu tay
肝	Gan; gan dạ
股	Đùi; háng
肢	Chi; tay chân
肩	Vai
肪	Mỡ
肯	Đồng ý
胆	Mật; can đảm
胎	Thai
胞	Bào; túi
胴	Thân mình
脂	Mỡ
脅	Đe dọa
脇	Nách; bên cạnh
脊	Cột sống
脚	Chân
脱	Cởi; thoát
腎	Thận
腐	Thối; mục
腕	Cánh tay; năng lực
腫	Sưng; u
腰	Eo; lưng dưới
腺	Tuyến
膚	Da
膜	Màng
膝	Đầu gối
膨	Phồng
膳	Mâm; suất ăn
臆	Nhút nhát; suy đoán
臭	Hôi
致	Gây ra; làm
臼	Cối giã
舗	Cửa hàng; lát đường
舞	Múa
舟	Thuyền
般	Loại; vận chuyển
舶	Tàu lớn
舷	Mạn tàu
艇	Thuyền nhỏ
艦	Chiến hạm
艶	Bóng; quyến rũ
芋	Khoai
芝	Cỏ sân
芯	Lõi; bấc
芳	Thơm
苗	Cây giống
苛	Khắc nghiệt
茂	Rậm rạp
茎	Thân cây
荒	Hoang; dữ; thô
荘	Trang viên
菊	Hoa cúc
菌	Vi khuẩn; nấm
菓	Bánh kẹo
華	Hoa; lộng lẫy
萎	Héo
葛	Sắn dây
葬	Chôn cất
蓄	Tích trữ
蓋	Nắp
蔑	Khinh miệt
蔽	Che
薄	Mỏng; nhạt
薦	Giới thiệu; tiến cử
薪	Củi
薫	Thơm; xông
藍	Chàm
藤	Tử đằng
藩	Phiên; lãnh địa
藻	Rong; tảo
虎	Hổ
虐	Ngược đãi
虚	Hư; trống
虜	Tù binh
虞	Lo ngại
虹	Cầu vồng
蚊	Muỗi
蛇	Rắn
蛍	Đom đóm
蛮	Man rợ
蜂	Ong
蜜	Mật ong
融	Tan; hòa hợp
衝	Va chạm
衡	Cân bằng
衰	Suy yếu
衷	Trong lòng
袋	Túi
袖	Tay áo
被	Phủ; chịu
裂	Xé; nứt
裕	Dư dả
裸	Trần truồng
裾	Gấu áo; chân núi
褐	Nâu
褒	Khen
襟	Cổ áo
襲	Tấn công; kế thừa
覆	Phủ; lật
覇	Bá chủ
触	Chạm
訂	Đính chính
訃	Tin buồn; cáo phó
託	Giao phó
訟	Kiện tụng
訴	Kiện; kêu gọi
診	Khám bệnh
詐	Lừa dối
詔	Chiếu chỉ
詠	Ngâm thơ
詣	Viếng đền chùa
詮	Tra xét; cốt yếu
詰	Nhét; dồn; chất vấn
該	Tương ứng; nói trên
詳	Chi tiết
誇	Tự hào; khoe
誉	Danh dự; khen
誓	Thề
誘	Mời; dụ
誰	Ai
請	Xin; yêu cầu
諦	Từ bỏ; chân lý
諧	Hài hòa
諭	Khuyên bảo
諮	Hỏi ý kiến
諾	Đồng ý
謀	Mưu
謁	Yết kiến
謄	Sao chép
謎	Câu đố; bí ẩn
謙	Khiêm tốn
謡	Ca; hát
謹	Kính cẩn
譜	Bản nhạc; gia phả
譲	Nhường
豚	Heo
豪	Hào; mạnh; nước Úc
貌	Diện mạo
貞	Trinh; ngay thẳng
貢	Cống; đóng góp
販	Bán
貪	Tham
貫	Xuyên; quán triệt
貼	Dán
賂	Hối lộ
賄	Lo liệu bữa ăn; hối lộ
賊	Giặc; trộm
賓	Khách quý
賜	Ban; tặng
賠	Bồi thường
賢	Hiền; khôn
賦	Thu; phân bổ; phú
賭	Đánh cược
購	Mua
贈	Tặng
赦	Tha
赴	Đi đến
超	Vượt
越	Vượt qua
趣	Thú; ý hướng
距	Khoảng cách
跡	Dấu vết
跳	Nhảy
践	Thực hành; bước
踊	Nhảy múa
踏	Giẫm; bước
踪	Dấu vết
蹴	Đá
躍	Nhảy vọt
軌	Đường ray; quỹ đạo
軒	Mái hiên; đơn vị đếm nhà
軟	Mềm
軸	Trục
較	So sánh
載	Đăng; chở
輝	Tỏa sáng
輩	Bậc; đồng bạn
轄	Quản lý
辛	Cay; khổ
辣	Cay; gay gắt
辱	Nhục
込	Đông; vào trong
迅	Nhanh
迎	Đón
迫	Ép; đến gần
迭	Thay thế
逃	Trốn
透	Trong suốt; xuyên
逐	Đuổi; lần lượt
逓	Chuyển tiếp; lần lượt
途	Đường; cách
逝	Qua đời
逮	Bắt giữ
逸	Thoát; lệch; xuất sắc
遂	Hoàn thành
遅	Chậm; muộn
遇	Gặp; đối đãi
遍	Khắp
違	Khác; sai
遜	Khiêm; nhường
遡	Ngược dòng; truy về
遣	Phái; dùng
遭	Gặp phải
遮	Che; chặn
遵	Tuân theo
遷	Dời; chuyển
避	Tránh
還	Trở về; hoàn trả
那	Na; dùng trong tên riêng
邦	Nước
邪	Tà; sai trái
邸	Dinh thự
郊	Ngoại ô
郎	Chàng; con trai
郭	Thành ngoài; khu
酌	Rót rượu; cân nhắc
酎	Rượu đậm; rượu shōchū
酔	Say
酢	Giấm
酪	Sản phẩm sữa
酬	Đền đáp
酵	Lên men
酷	Khắc nghiệt
醒	Tỉnh
醜	Xấu xí
醸	Ủ rượu; gây
采	Hái; lựa chọn
釈	Giải thích; tha
釜	Nồi; vạc
釣	Câu cá
鈍	Cùn; chậm
鈴	Chuông nhỏ
鉛	Chì
鉢	Bát; chậu
銃	Súng
銘	Khắc tên; minh
鋭	Sắc; nhạy
鋳	Đúc
錠	Khóa; viên thuốc
錦	Gấm
錬	Rèn; luyện
錮	Giam; bít
錯	Lẫn; sai
鍋	Nồi
鍛	Rèn
鍵	Chìa khóa
鎌	Liềm
鎖	Xích
鎮	Trấn; làm dịu
鐘	Chuông lớn
鑑	Gương; giám định
閑	Nhàn
閥	Phe phái
閲	Duyệt; xem
闇	Bóng tối
闘	Đấu
阻	Cản trở
附	Gắn; kèm
陣	Trận; doanh trại
陥	Rơi vào; hãm
陪	Đi cùng; bồi
陰	Bóng râm; âm
陳	Trình bày
陵	Lăng; gò
陶	Đồ gốm
隅	Góc
隆	Thịnh; cao
随	Theo
隔	Ngăn cách
隙	Khe; sơ hở
隠	Ẩn
隣	Bên cạnh
隷	Nô lệ; lệ thuộc
隻	Đơn vị đếm tàu
雄	Giống đực; hùng
雅	Thanh nhã
雇	Thuê
雌	Giống cái
離	Rời; tách
雰	Bầu không khí
零	Không; số không
雷	Sấm
需	Nhu cầu
震	Chấn động; rung
霊	Linh hồn
霜	Sương giá
霧	Sương mù
露	Sương; lộ
靴	Giày
韓	Hàn Quốc
韻	Vần
響	Vang; ảnh hưởng
頃	Khoảng; lúc
項	Mục; gáy
須	Cần; phải
頑	Ngoan cố
頒	Phân phát
頓	Đột nhiên
頰	Má
頻	Thường xuyên
頼	Nhờ; tin cậy
顎	Hàm; cằm
顕	Hiển; rõ
顧	Ngoái; quan tâm
飢	Đói
飽	No; chán
飾	Trang trí
餅	Bánh mochi
餌	Mồi; thức ăn cho vật nuôi
餓	Đói
駄	Vô ích; ngựa chở hàng
駆	Chạy; thúc
駐	Đỗ; trú
駒	Ngựa con; quân cờ
騎	Cưỡi ngựa
騒	Ồn ào
騰	Tăng vọt
驚	Ngạc nhiên
骸	Hài cốt
髄	Tủy
髪	Tóc
鬱	U uất
鬼	Quỷ
魂	Hồn
魅	Mê hoặc; hấp dẫn
魔	Ma
鮮	Tươi; rực rỡ
鯨	Cá voi
鶏	Gà
鶴	Hạc
麓	Chân núi
麗	Đẹp
麺	Mì
麻	Gai; tê
黙	Im lặng
鼓	Trống; đánh trống
齢	Tuổi
𠮟	Mắng; quở trách
